iter	Passed	Remaining
770	511	12747
771	511	12746
772	512	12746
773	513	12745
774	513	12745
775	514	12744
776	515	12742
777	515	12741
778	516	12740
779	517	12739
780	517	12738
781	518	12735
782	518	12734
783	519	12734
784	520	12733
785	520	12732
786	521	12731
787	522	12730
788	522	12729
789	523	12727
790	524	12726
791	524	12725
792	525	12723
793	525	12721
794	526	12720
795	527	12718
796	527	12718
797	528	12717
798	529	12717
799	529	12716
800	530	12714
801	531	12713
802	531	12712
803	532	12712
804	533	12710
805	533	12710
806	534	12710
807	535	12708
808	535	12707
809	536	12706
810	537	12706
811	537	12705
812	538	12703
813	538	12702
814	539	12701
815	540	12700
816	540	12698
817	541	12698
818	542	12698
819	542	12697
820	543	12693
821	544	12693
822	544	12693
823	545	12691
824	546	12692
825	546	12692
826	547	12691
827	548	12690
828	548	12689
829	549	12688
830	549	12686
831	550	12685
832	551	12681
833	551	12681
834	552	12680
835	553	12680
836	553	12680
837	554	12679
838	555	12678
839	555	12678
840	556	12677
841	557	12675
842	557	12675
843	558	12677
844	559	12675
845	559	12675
846	560	12673
847	561	12672
848	561	12672
849	562	12670
850	563	12669
851	563	12668
852	564	12667
853	564	12666
854	565	12659
855	565	12654
856	566	12654
857	567	12655
858	567	12654
859	568	12652
860	569	12651
861	569	12650
862	570	12649
863	571	12649
864	571	12647
865	572	12646
866	572	12644
867	573	12644
868	574	12642
869	574	12643
870	575	12644
871	576	12641
872	576	12639
873	577	12637
874	578	12639
875	578	12637
876	579	12636
877	580	12636
878	580	12635
879	581	12634
880	582	12633
881	582	12632
882	583	12631
883	584	12633
884	584	12632
885	585	12632
886	586	12631
887	586	12629
888	587	12630
889	588	12631
890	588	12628
891	589	12629
892	590	12628
893	590	12627
894	591	12628
895	592	12625
896	592	12626
897	593	12626
898	594	12627
899	595	12628
900	595	12630
901	596	12631
902	597	12632
903	598	12634
904	598	12636
905	599	12640
906	600	12641
907	601	12639
908	601	12640
909	602	12639
910	603	12637
911	603	12638
912	604	12636
913	605	12635
914	605	12635
915	606	12635
916	607	12634
917	607	12634
918	608	12632
919	609	12631
920	609	12631
921	610	12632
922	611	12630
923	611	12629
